,Fuel Type Code,Station Name,City,State,Status Code,Latitude,Longitude,ID,Country
62209,ELEC,Northeast Bronx YMCA,Bronx,NY,E,"40,8827858370269","-73,8419855959349",205826,US
64574,ELEC,Stop & Shop #566 - Arverne By-the-sea,Queens,NY,E,"40,589841","-73,800082",212485,US
66461,ELEC,79-01 Broadway,Queens,NY,E,"40,745853","-73,884134",216616,US
66462,ELEC,34-20 30th Ave,Queens,NY,E,"40,7652332","-73,9184356",216617,US
66722,ELEC,INDUSTRY CITY LOT B EAST,Brooklyn,NY,E,"40,659338","-74,006454",217354,US
68036,ELEC,Empire Outlets Garage,Staten Island,NY,E,"40,6447631696563","-74,0758370071514",220701,US
68037,ELEC,T.J. Maxx,Staten Island,NY,E,"40,5690444034597","-74,1095755305259",220702,US
68725,ELEC,HCBR STATION 1,Brooklyn,NY,E,"40,619335","-74,029466",221556,US
69402,ELEC,266 13th St,Brooklyn,NY,E,"40,667017","-73,988698",222574,US
69406,ELEC,160 W 84th St,Manhattan,NY,E,"40,786312","-73,97569",222579,US
69624,ELEC,Rapid Park - 44 State St,Brooklyn,NY,E,"40,6918","-73,99829",223100,US
69640,ELEC,906 Union St,Brooklyn,NY,E,"40,67283","-73,97175",223116,US
69993,ELEC,Supercharge NYC,Brooklyn,NY,E,"40,7136044677631","-73,93309885767226",223588,US
70050,ELEC,35 Red Cross Pl,Brooklyn,NY,E,"40,6994875","-73,9895156",223717,US
70288,ELEC,40 N 4th St Apartments,Brooklyn,NY,E,"40,718391","-73,963339",224261,US
